bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",135,92.52617371,149.0061472,244.0709976,84.01467644,294.2128802,23.15742792,89.37003986,259.853137
"BMR = 10%: Added, BMR: 0.1",136,132.5186148,126.2166345,244.0709976,112.0786664,294.2128802,47.7233307,52.6858379,259.853137
"BMR = 10%: Added, BMR: 0.1",137,117.7918349,140.4991876,230.386693,117.9877346,274.3032864,46.97794987,93.67366477,245.0091194
"BMR = 10%: Added, BMR: 0.1",138,139.6588684,114.7993834,244.495405,91.60596476,289.059234,44.13227002,65.57401117,294.3237478
"BMR = 10%: Added, BMR: 0.1",139,92.89635479,129.2289637,237.4364718,91.81755469,289.059234,55.97857489,69.93102995,291.4249634
"BMR = 10%: Added, BMR: 0.1",140,107.285198,109.0480325,208.6773873,138.7056569,258.8507793,53.09601231,93.35001215,164.8339132
"BMR = 10%: Added, BMR: 0.1",141,146.9788731,141.0311383,158.012422,132.958611,250.4258199,44.28850603,71.72846478,224.4639694
"BMR = 10%: Added, BMR: 0.1",142,154.4691602,134.9025033,226.2639785,120.5868042,272.9196165,28.49232299,64.90448274,251.2059121
"BMR = 10%: Added, BMR: 0.1",143,98.80374994,125.4822533,181.1409725,120.9185383,258.3300265,34.4538477,77.79296489,253.8004327
"BMR = 10%: Added, BMR: 0.1",144,70.10122643,123.7424928,165.4479291,114.1113518,275.9334996,37.15990922,94.06790005,187.965059
"BMR = 10%: Added, BMR: 0.1",145,128.6183224,117.8847022,154.0713888,107.9057,248.4263669,37.11469069,59.4429155,188.422823
"BMR = 10%: Added, BMR: 0.1",146,154.9535201,126.7110072,169.4075273,96.520736,203.2941292,28.09745495,65.77615904,242.0858533
"BMR = 10%: Added, BMR: 0.1",147,136.044296,119.853772,182.4588488,91.04030771,185.2128865,21.95967031,65.77615904,194.0351144
"BMR = 10%: Added, BMR: 0.1",148,153.8498874,152.3946295,221.874153,110.3424127,194.6429551,23.74258405,96.28324167,193.8897396
"BMR = 10%: Added, BMR: 0.1",149,70.75791005,113.6597002,245.5562354,80.81812557,222.9872775,48.19598177,75.52129104,184.2953506
"BMR = 10%: Added, BMR: 0.1",150,113.7392618,112.2974351,180.1883019,114.3410214,250.6359012,38.53944259,65.75924299,206.9305025
"BMR = 10%: Added, BMR: 0.1",151,154.9705408,117.7606251,241.4667516,81.36034225,221.5170952,45.5887948,68.7001223,171.7166275
"BMR = 10%: Added, BMR: 0.1",152,107.6360846,135.9761929,195.7614441,81.36034225,221.8643265,33.632121,71.91682239,148.7167723
"BMR = 10%: Added, BMR: 0.1",153,105.8568388,157.5574538,192.1013356,105.55377,231.8214103,32.30991329,79.86946866,224.0918354
"BMR = 10%: Added, BMR: 0.1",154,146.9231273,167.4733232,243.4500253,93.00555337,203.3675038,38.29100326,70.2074275,202.1847103
"BMR = 10%: Added, BMR: 0.1",155,166.5399285,136.9566385,228.215021,100.1216256,221.0588769,27.18304512,78.42007041,189.0341929
"BMR = 10%: Added, BMR: 0.1",156,172.824029,123.0306585,145.9879718,90.4230462,157.5681701,26.83269385,86.2712957,218.5413862
"BMR = 10%: Added, BMR: 0.1",157,97.78104811,145.4055849,156.2088586,122.5971937,150.4472029,23.948942,48.84091286,182.5152618
"BMR = 10%: Added, BMR: 0.1",158,161.9160864,111.1775791,221.0828475,111.4146595,248.6716198,38.15413174,101.1833531,240.2888845
