bmr,index,model_average,Logistic,LogLogistic,Probit,QuantalLinear,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",166,32.40014406,22.45611416,27.95818583,24.19129994,6.595107283,59.25600245
"BMR = 10%: Added, BMR: 0.1",167,33.14600763,22.18720876,27.405888,24.93747399,8.556716388,35.16460105
"BMR = 10%: Added, BMR: 0.1",168,28.45830646,22.77527552,29.91645537,25.08237378,8.273422777,65.62931251
"BMR = 10%: Added, BMR: 0.1",169,19.40603973,23.0227457,36.00919019,23.15609136,6.127393971,70.91279423
"BMR = 10%: Added, BMR: 0.1",170,27.0008787,24.06082511,29.46101477,22.24704727,6.716177,49.66626588
"BMR = 10%: Added, BMR: 0.1",171,22.43976158,22.23588044,12.31604542,22.74297357,10.20833826,34.27011081
"BMR = 10%: Added, BMR: 0.1",172,17.86999109,22.23588044,65.11823519,22.74297357,7.057312761,13.76120754
"BMR = 10%: Added, BMR: 0.1",173,28.70170101,22.12009379,46.62423366,22.91718467,10.1485101,13.51435015
"BMR = 10%: Added, BMR: 0.1",174,14.92037679,27.79063805,47.97617508,22.91718467,12.66027899,29.45616452
"BMR = 10%: Added, BMR: 0.1",175,26.22218267,19.44816689,27.5614306,22.91718467,8.774834867,15.17781055
"BMR = 10%: Added, BMR: 0.1",176,23.80602982,21.77165668,23.79072554,22.91718467,10.18273418,16.90662029
"BMR = 10%: Added, BMR: 0.1",177,18.03201221,29.26064828,23.26407779,22.91718467,7.465673652,16.14704154
"BMR = 10%: Added, BMR: 0.1",178,26.02570009,17.98232972,32.64926329,22.91718467,6.071188897,36.23504932
"BMR = 10%: Added, BMR: 0.1",179,21.36594591,16.10719863,41.31422853,22.91718467,4.803820021,31.36428466
"BMR = 10%: Added, BMR: 0.1",180,15.63455639,17.28077881,39.72544538,24.83070844,5.264673645,75.10525694
"BMR = 10%: Added, BMR: 0.1",181,34.68092661,40.25343779,25.57158311,24.83070844,5.806195468,66.58351648
"BMR = 10%: Added, BMR: 0.1",182,20.9852686,27.18698449,12.37303118,27.74094243,6.524640405,66.43163434
"BMR = 10%: Added, BMR: 0.1",183,15.62295237,26.74368128,20.26578917,28.50999007,6.768542609,63.86119667
"BMR = 10%: Added, BMR: 0.1",184,21.60400701,29.76446906,35.85207161,29.48158822,11.32611084,20.88924723
"BMR = 10%: Added, BMR: 0.1",185,23.36782301,22.37534832,37.58387284,24.43461102,5.49620284,27.12934144
"BMR = 10%: Added, BMR: 0.1",186,26.70234114,26.14955462,26.82301185,24.1711358,6.579489586,34.78532529
"BMR = 10%: Added, BMR: 0.1",187,23.34510134,28.51800379,23.87985758,22.6086151,7.387333402,15.11594335
"BMR = 10%: Added, BMR: 0.1",188,24.23923705,31.23521878,28.21915258,23.97487165,7.62884037,30.89656478
"BMR = 10%: Added, BMR: 0.1",189,30.30784028,29.65227436,34.98015785,29.68972445,5.100457155,4.015850359
"BMR = 10%: Added, BMR: 0.1",190,29.11729623,29.65227436,20.5274096,35.75384342,5.130116184,6.077326242
"BMR = 10%: Added, BMR: 0.1",191,28.78169056,28.71867708,17.10668121,31.67638111,7.095008893,9.606599573
"BMR = 10%: Added, BMR: 0.1",192,22.27049388,21.96025175,18.96205244,31.51085746,7.537738215,45.69492537
"BMR = 10%: Added, BMR: 0.1",193,28.9481203,23.62443843,29.00971677,37.04499149,11.10723008,41.43950153
"BMR = 10%: Added, BMR: 0.1",194,25.70813707,23.04438854,35.62617229,35.38883872,8.614703572,45.13704405
"BMR = 10%: Added, BMR: 0.1",195,22.50176809,26.01240199,34.69005255,30.02728803,5.090344006,37.51886646
"BMR = 10%: Added, BMR: 0.1",196,19.06061347,29.04679223,26.34383352,30.8189517,5.321014803,35.18389731
"BMR = 10%: Added, BMR: 0.1",197,17.14829091,23.8343391,37.15010574,29.99535729,5.017076442,24.18315435
"BMR = 10%: Added, BMR: 0.1",198,35.97312696,26.57327785,21.63982448,29.61973936,4.758866636,17.85131774
"BMR = 10%: Added, BMR: 0.1",199,33.63720292,20.39021781,14.55973529,27.45896229,12.17389589,38.33149955
"BMR = 10%: Added, BMR: 0.1",200,25.19222768,30.74840197,12.01085882,25.48364594,6.756878014,15.82729477
"BMR = 10%: Added, BMR: 0.1",201,23.12134063,22.93440772,12.7103761,24.80996278,6.025464713,59.55004559
"BMR = 10%: Added, BMR: 0.1",202,38.01913738,24.49972623,12.85233293,24.12896387,6.215647575,34.83402439
"BMR = 10%: Added, BMR: 0.1",203,31.23576371,18.94708921,12.61924951,34.18112392,8.989607065,25.24624136
"BMR = 10%: Added, BMR: 0.1",204,17.96055794,20.83279058,5.808868967,24.7250271,6.957530632,31.40405148
"BMR = 10%: Added, BMR: 0.1",205,30.82126052,20.79892077,22.85087767,24.73124081,5.949850254,28.49162836
"BMR = 10%: Added, BMR: 0.1",206,20.03842263,26.26437527,20.35815091,21.88000886,7.297284388,27.37170737
"BMR = 10%: Added, BMR: 0.1",207,20.80426233,19.58934292,24.18065768,22.93023586,5.488817919,38.25597008
"BMR = 10%: Added, BMR: 0.1",208,25.69935643,28.56730125,37.11291025,21.99465043,4.745733631,21.6323714
"BMR = 10%: Added, BMR: 0.1",209,24.79291446,31.48970355,26.62466541,21.69891766,7.068036343,36.77499344
"BMR = 10%: Added, BMR: 0.1",210,29.93715128,29.3603246,26.52881301,21.90873353,6.055109314,21.44235237
"BMR = 10%: Added, BMR: 0.1",211,21.85803838,23.66671064,25.89475398,21.7490892,6.65814721,26.69439058
"BMR = 10%: Added, BMR: 0.1",212,32.56621803,31.74745896,18.31172707,21.98602368,5.868977303,25.1797243
"BMR = 10%: Added, BMR: 0.1",213,20.61319885,30.04983538,21.19719667,22.91656408,5.674367935,62.22069086
"BMR = 10%: Added, BMR: 0.1",214,22.30079284,21.75075979,86.35763215,23.67275128,7.518393203,39.29580966
"BMR = 10%: Added, BMR: 0.1",215,22.23633488,20.22283184,77.41752572,25.67490381,6.906316524,30.84530195
"BMR = 10%: Added, BMR: 0.1",216,24.22466606,15.31667222,91.58332882,28.50308995,7.924523193,51.81390431
"BMR = 10%: Added, BMR: 0.1",217,13.82861846,19.11194992,104.3561196,26.89961378,9.230886531,38.36700533
"BMR = 10%: Added, BMR: 0.1",218,29.36354923,21.33799961,79.73665904,28.84958845,8.065645233,50.17757265
"BMR = 10%: Added, BMR: 0.1",219,16.35517009,19.81967822,71.70981338,38.27075469,7.857248551,13.2342999
